system:index,Name,OBJECTID,blue,green,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,.geo
1_1_LT05_119038_19840516_00003df56065d95e53df_0,Changshu1,1,484,775,31.67444365,120.7658911,0.6209652,0.5649491,2536,66,705,1199,593,
1_1_LT05_119038_19840804_00003df56065d95e53df_0,Changshu1,1,293,544,31.67444365,120.7658911,0.6788088,0.7568169,3157,66,437,1388,604,
1_1_LT05_119038_19840905_00003df56065d95e53df_0,Changshu1,1,563,766,31.67444365,120.7658911,0.71112204,0.72470236,3477,66,555,1393,587,
1_1_LT05_118038_19840914_00003df56065d95e53df_0,Changshu1,1,580,759,31.67444365,120.7658911,0.72039014,0.73246026,3704,66,572,1433,602,
1_1_LT05_119038_19840921_00003df56065d95e53df_0,Changshu1,1,555,762,31.67444365,120.7658911,0.62260294,0.6779482,3173,66,609,1465,738,
1_1_LT05_119038_19850111_00003df56065d95e53df_0,Changshu1,1,878,978,31.67444365,120.7658911,0.39156118,0.26311758,1649,66,962,1177,721,
1_1_LT05_119038_19850417_00003df56065d95e53df_0,Changshu1,1,943,1203,31.67444365,120.7658911,0.4842802,0.44096386,2691,66,1044,1421,935,
1_1_LT05_119038_19850722_00003df56065d95e53df_0,Changshu1,1,649,919,31.67444365,120.7658911,0.62398326,0.66301763,3494,66,708,1745,809,
1_1_LT05_119038_19850807_00003df56065d95e53df_0,Changshu1,1,1315,1478,31.67444365,120.7658911,0.6099979,0.50318223,3897,66,1288,1899,944,
1_1_LT05_119038_19860303_00003df56065d95e53df_0,Changshu1,1,713,905,31.67444365,120.7658911,0.089297436,0.2454955,1659,66,1005,1683,1387,
1_1_LT05_119038_19860522_00003df56065d95e53df_0,Changshu1,1,524,753,31.67444365,120.7658911,0.44235376,0.47877938,2108,66,743,1391,815,
1_1_LT05_119038_19860607_00003df56065d95e53df_0,Changshu1,1,811,1128,31.67444365,120.7658911,0.32788977,0.41374627,2602,66,1079,1978,1317,
1_1_LT05_119038_19860725_00003df56065d95e53df_0,Changshu1,1,383,551,31.67444365,120.7658911,0.7017932,0.8018205,3464,66,381,1528,607,
1_1_LT05_119038_19861029_00003df56065d95e53df_0,Changshu1,1,674,945,31.67444365,120.7658911,0.3170448,0.39709967,2264,66,977,1912,1174,
1_1_LT05_119038_19870117_00003df56065d95e53df_0,Changshu1,1,805,1012,31.67444365,120.7658911,0.25904897,0.2594959,1774,66,1043,1509,1044,
1_1_LT05_119038_19870202_00003df56065d95e53df_0,Changshu1,1,1077,1220,31.67444365,120.7658911,0.2381258,0.22282092,1929,66,1226,1668,1187,
1_1_LT05_119038_19870626_00003df56065d95e53df_0,Changshu1,1,652,926,31.67444365,120.7658911,0.57355124,0.46220228,2118,66,779,908,574,
1_1_LT05_119038_19870914_00003df56065d95e53df_0,Changshu1,1,615,784,31.67444365,120.7658911,0.6888889,0.69451565,3306,66,596,1532,609,
1_1_LT05_119038_19871219_00003df56065d95e53df_0,Changshu1,1,920,1157,31.67444365,120.7658911,0.15724638,0.15140592,1597,66,1177,1677,1163,
1_1_LT05_119038_19880120_00003df56065d95e53df_0,Changshu1,1,909,1112,31.67444365,120.7658911,0.16124615,0.22234234,1696,66,1079,1483,1225,
1_1_LT05_119038_19880308_00003df56065d95e53df_0,Changshu1,1,702,948,31.67444365,120.7658911,0.27266136,0.30337912,1755,66,938,1329,1003,
1_1_LT05_119038_19880409_00003df56065d95e53df_0,Changshu1,1,751,1028,31.67444365,120.7658911,0.41077843,0.41204676,2356,66,981,1517,984,
1_1_LT05_119038_19880425_00003df56065d95e53df_0,Changshu1,1,730,1119,31.67444365,120.7658911,0.45440125,0.44031414,2751,66,1069,1653,1032,
1_1_LT05_119038_19880714_00003df56065d95e53df_0,Changshu1,1,414,705,31.67444365,120.7658911,0.6136495,0.6827503,2790,66,526,1343,668,
1_1_LT05_119038_19881103_00003df56065d95e53df_0,Changshu1,1,719,908,31.67444365,120.7658911,0.104004785,0.2866597,1847,66,1024,1918,1499,
1_1_LT05_119038_19881205_00003df56065d95e53df_0,Changshu1,1,799,1003,31.67444365,120.7658911,0.12055876,0.24368049,1845,66,1122,1951,1448,
1_1_LT05_119038_19890327_00003df56065d95e53df_0,Changshu1,1,618,846,31.67444365,120.7658911,0.396944,0.4496124,2057,66,781,1256,888,
1_1_LT05_119038_19890514_00003df56065d95e53df_0,Changshu1,1,463,745,31.67444365,120.7658911,0.34198114,0.39746213,1707,66,736,1233,837,
1_1_LT05_119038_19890530_00003df56065d95e53df_0,Changshu1,1,678,960,31.67444365,120.7658911,0.29478943,0.32360452,1814,66,927,1422,988,
1_1_LT05_119038_19890818_00003df56065d95e53df_0,Changshu1,1,594,727,31.67444365,120.7658911,0.7327327,0.77110285,4039,66,522,1625,623,
1_1_LT05_119038_19890919_00003df56065d95e53df_0,Changshu1,1,992,1111,31.67444365,120.7658911,0.6155568,0.5303472,2887,66,886,1384,687,
1_1_LT05_119038_19891021_00003df56065d95e53df_0,Changshu1,1,617,884,31.67444365,120.7658911,0.5318428,0.45355192,2261,66,850,1262,691,
1_1_LT05_119038_19891208_00003df56065d95e53df_0,Changshu1,1,784,1006,31.67444365,120.7658911,0.1845523,0.27146003,1733,66,993,1716,1193,
1_1_LT05_119038_19900226_00003df56065d95e53df_0,Changshu1,1,650,814,31.67444365,120.7658911,0.54618984,0.42319748,1816,66,736,1085,533,
1_1_LT05_119038_19900720_00003df56065d95e53df_0,Changshu1,1,451,696,31.67444365,120.7658911,0.68017685,0.7440082,3420,66,502,1412,651,
1_1_LT05_119038_19901008_00003df56065d95e53df_0,Changshu1,1,432,679,31.67444365,120.7658911,0.5741973,0.62302417,2721,66,632,1485,736,
1_1_LT05_119038_19910317_00003df56065d95e53df_0,Changshu1,1,1000,1251,31.67444365,120.7658911,0.477946,0.3443114,2245,66,1095,1294,793,
1_1_LT05_119038_19910402_00003df56065d95e53df_0,Changshu1,1,500,799,31.67444365,120.7658911,0.43805784,0.48088235,2014,66,706,1320,787,
1_1_LT05_119038_19910723_00003df56065d95e53df_0,Changshu1,1,415,687,31.67444365,120.7658911,0.46266297,0.51411045,1851,66,594,1189,680,
1_1_LT05_119038_19910824_00003df56065d95e53df_0,Changshu1,1,493,664,31.67444365,120.7658911,0.635172,0.68155015,2994,66,567,1401,668,
1_1_LT05_119038_19911027_00003df56065d95e53df_0,Changshu1,1,649,909,31.67444365,120.7658911,0.5123234,0.41687194,2301,66,947,1491,742,
1_1_LT05_119038_19911112_00003df56065d95e53df_0,Changshu1,1,841,1070,31.67444365,120.7658911,0.15608466,0.20968857,1748,66,1142,1726,1276,
1_1_LT05_119038_19911214_00003df56065d95e53df_0,Changshu1,1,1035,1249,31.67444365,120.7658911,0.2788714,0.26148868,1949,66,1141,1463,1099,
1_1_LT05_119038_19920115_00003df56065d95e53df_0,Changshu1,1,880,1037,31.67444365,120.7658911,0.39130434,0.2809854,1664,66,934,1188,728,
1_1_LT05_119038_19920216_00003df56065d95e53df_0,Changshu1,1,761,1013,31.67444365,120.7658911,0.22976099,0.25,1595,66,957,1373,999,
