system:index,date,path,row,sat,.geo
1_1_LT05_119038_19840516,1984-05-16,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19840804,1984-08-04,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19840905,1984-09-05,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19840914,1984-09-14,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19840921,1984-09-21,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19841023,1984-10-23,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19850111,1985-01-11,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19850401,1985-04-01,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19850417,1985-04-17,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19850722,1985-07-22,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19850807,1985-08-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19850924,1985-09-24,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19860215,1986-02-15,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19860303,1986-03-03,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19860420,1986-04-20,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19860515,1986-05-15,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19860522,1986-05-22,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19860531,1986-05-31,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19860607,1986-06-07,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19860718,1986-07-18,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19860725,1986-07-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19861013,1986-10-13,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19861029,1986-10-29,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870117,1987-01-17,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870202,1987-02-02,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870423,1987-04-23,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870509,1987-05-09,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870610,1987-06-10,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870626,1987-06-26,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870712,1987-07-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870914,1987-09-14,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19870930,1987-09-30,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19871219,1987-12-19,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880120,1988-01-20,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880205,1988-02-05,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880308,1988-03-08,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880409,1988-04-09,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880425,1988-04-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880714,1988-07-14,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880815,1988-08-15,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19880916,1988-09-16,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19881103,1988-11-03,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19881119,1988-11-19,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19881205,1988-12-05,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19881221,1988-12-21,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890327,1989-03-27,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890514,1989-05-14,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890530,1989-05-30,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890717,1989-07-17,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890802,1989-08-02,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19890811,1989-08-11,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890818,1989-08-18,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19890919,1989-09-19,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19891014,1989-10-14,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19891021,1989-10-21,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19891122,1989-11-22,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19891201,1989-12-01,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19891208,1989-12-08,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19900102,1990-01-02,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19900226,1990-02-26,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19900307,1990-03-07,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19900415,1990-04-15,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19900602,1990-06-02,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19900618,1990-06-18,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19900720,1990-07-20,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19901008,1990-10-08,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19901125,1990-11-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19901211,1990-12-11,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910112,1991-01-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910317,1991-03-17,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910402,1991-04-02,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910520,1991-05-20,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910621,1991-06-21,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19910630,1991-06-30,118.0,38.0,LANDSAT_5,
1_1_LT05_118038_19910716,1991-07-16,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910723,1991-07-23,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910824,1991-08-24,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19910909,1991-09-09,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19911011,1991-10-11,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19911020,1991-10-20,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19911027,1991-10-27,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19911112,1991-11-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19911214,1991-12-14,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920115,1992-01-15,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920216,1992-02-16,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920404,1992-04-04,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19920413,1992-04-13,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920420,1992-04-20,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920506,1992-05-06,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920522,1992-05-22,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19920531,1992-05-31,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920607,1992-06-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920709,1992-07-09,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19920718,1992-07-18,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920725,1992-07-25,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19920803,1992-08-03,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920810,1992-08-10,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19920904,1992-09-04,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920911,1992-09-11,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19920927,1992-09-27,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19921013,1992-10-13,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19921022,1992-10-22,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19921029,1992-10-29,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19921114,1992-11-14,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19921130,1992-11-30,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19921216,1992-12-16,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930117,1993-01-17,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930202,1993-02-02,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930407,1993-04-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930423,1993-04-23,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930525,1993-05-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930610,1993-06-10,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930626,1993-06-26,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930712,1993-07-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930728,1993-07-28,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19930930,1993-09-30,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19931101,1993-11-01,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19931219,1993-12-19,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940104,1994-01-04,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940120,1994-01-20,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940325,1994-03-25,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19940505,1994-05-05,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940512,1994-05-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940528,1994-05-28,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940715,1994-07-15,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19940901,1994-09-01,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19940926,1994-09-26,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19941003,1994-10-03,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19941104,1994-11-04,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19941206,1994-12-06,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19941222,1994-12-22,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950107,1995-01-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950224,1995-02-24,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950312,1995-03-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950515,1995-05-15,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950718,1995-07-18,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19950727,1995-07-27,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950803,1995-08-03,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19950812,1995-08-12,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950819,1995-08-19,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19950904,1995-09-04,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_19951015,1995-10-15,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_19951022,1995-10-22,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19951107,1995-11-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19951123,1995-11-23,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19951209,1995-12-09,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19951225,1995-12-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960110,1996-01-10,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960211,1996-02-11,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960501,1996-05-01,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960517,1996-05-17,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960602,1996-06-02,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960618,1996-06-18,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960720,1996-07-20,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960821,1996-08-21,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960906,1996-09-06,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19960922,1996-09-22,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19961125,1996-11-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19961211,1996-12-11,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19961227,1996-12-27,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970112,1997-01-12,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970128,1997-01-28,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970213,1997-02-13,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970301,1997-03-01,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970504,1997-05-04,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970605,1997-06-05,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970707,1997-07-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970723,1997-07-23,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970808,1997-08-08,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19970909,1997-09-09,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19971011,1997-10-11,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19971027,1997-10-27,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19971214,1997-12-14,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19971230,1997-12-30,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19980131,1998-01-31,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19980405,1998-04-05,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_19980421,1998-04-21,119.0,38.0,LANDSAT_5,
